User Name,Tweets Ago,Compound,Negative,Neutral,Positive,Tweet,Date
@BBC,66,0.4019,0.0,0.787,0.213,Need to clean your headphone socket? Check out this #TechHack. https://t.co/RDtpHt03ZX,Sat Jul 28 10:05:04 +0000 2018
@BBC,67,0.6369,0.0,0.802,0.198,"📚🌍 With classic and contemporary choices perfectly matched to destinations all over the world, here's your ultimate… https://t.co/fsadf3W3rU",Sat Jul 28 09:03:03 +0000 2018
@BBC,68,0.0,0.0,1.0,0.0,🛌 Namastay in bed! https://t.co/s2J2Uf4U99,Sat Jul 28 08:02:06 +0000 2018
@BBC,69,0.4939,0.0,0.686,0.314,🐶 Hearing dogs can save a life. https://t.co/bTcvuvGYJt,Sat Jul 28 07:05:02 +0000 2018
@BBC,70,0.6908,0.0,0.739,0.261,A pair of beavers are being released into the Forest of Dean with the hope they'll help prevent flooding in the are… https://t.co/wD23PTQUPg,Fri Jul 27 18:01:08 +0000 2018
@BBC,71,0.4404,0.0,0.828,0.172,RT @bbcpress: Stellar cast and creative team unveiled for @BBCOne adaptation of @PhilipPullman's #HisDarkMaterials: https://t.co/4Bm3OIaXCH…,Fri Jul 27 17:47:28 +0000 2018
@BBC,72,0.0,0.0,1.0,0.0,🎅🎄😂 Too soon? https://t.co/L368bWE3t5,Fri Jul 27 17:02:03 +0000 2018
@BBC,73,0.6486,0.0,0.765,0.235,When your boss is looking for you but it's after 5pm... 👋 #FridayFeeling https://t.co/J3NZSVi7jj,Fri Jul 27 15:59:00 +0000 2018
@BBC,74,0.34,0.0,0.789,0.211,"👀 Who's excited to see the #BloodMoon tonight? 
#LunarEclipse https://t.co/jhx3zLDOTS",Fri Jul 27 15:16:01 +0000 2018
@BBC,75,0.0,0.0,1.0,0.0,"👃💐 How teenage perfumes smell to you - an actual adult.
👉 https://t.co/PCRmoujpVJ https://t.co/P0tmdqfbUC",Fri Jul 27 13:01:03 +0000 2018
@BBC,76,0.5719,0.091,0.664,0.245,"RT @BBCEarth: Just a seal getting a good tummy-rub from a diver, no biggie 😍

#OurBluePlanet with @Sealdiver https://t.co/L8yAINvPdJ",Fri Jul 27 12:50:53 +0000 2018
@BBC,77,-0.2023,0.125,0.795,0.08,😳 This man wants people to stop pretending to have sex with his hedge. https://t.co/VbuY1xtbQ1,Fri Jul 27 12:24:44 +0000 2018
@BBC,78,0.674,0.0,0.841,0.159,RT @BBCClick: The @BBCProms projection show at the Royal Albert Hall had lights so strong that planes were told not to fly over it! https:/…,Fri Jul 27 12:14:56 +0000 2018
@BBC,79,0.3802,0.0,0.822,0.178,⛷🐶 This is one way to keep dogs cool in the heat! https://t.co/ObXmR8febC,Fri Jul 27 12:00:18 +0000 2018
@BBC,80,0.5267,0.0,0.794,0.206,"🔬 From 'the God particle' to our ability to observe gravitational waves, here are 7 extraordinary things science ha… https://t.co/j4tgSCx3vl",Fri Jul 27 11:02:04 +0000 2018
@BBC,81,0.0,0.0,1.0,0.0,"👀🌝 Skywatchers will be treated to the longest ""blood moon"" eclipse of the century tonight, with the totality period… https://t.co/w1Eoi6fA9R",Fri Jul 27 09:51:01 +0000 2018
@BBC,82,0.0,0.0,1.0,0.0,RT @bbccomedy: British or American Stand-up? 🤔🇬🇧🇺🇸 https://t.co/HBxD8YmCSZ,Fri Jul 27 09:38:09 +0000 2018
@BBC,83,0.6705,0.094,0.591,0.315,😂 A Scottish three year old's take on the summer holidays. https://t.co/SaCbnnlnUm,Fri Jul 27 08:00:16 +0000 2018
@BBC,84,-0.34,0.18,0.702,0.118,❤️📝 A teenager who attached uplifting messages to a bridge to help people facing a mental health crisis has helped… https://t.co/gGO3mXQkkd,Fri Jul 27 07:26:02 +0000 2018
@BBC,85,-0.6249,0.221,0.779,0.0,💔 @BoyGeorge discovers that in 1919 his grandmother was found wandering the streets alone as a 6 year old child.… https://t.co/CmyXz2oGYr,Fri Jul 27 07:01:03 +0000 2018
@BBC,86,-0.4588,0.208,0.693,0.099,"After being abused on dating apps for having HIV, Joe has turned to art to help combat the stigma. 
(via @BBCThree) https://t.co/b6mar28jBl",Thu Jul 26 19:02:05 +0000 2018
@BBC,87,-0.046,0.131,0.746,0.123,"Tonight, a team of inventors attempt to change the lives of three inspiring people with very different problems. 💡… https://t.co/L7yN0qkCNz",Thu Jul 26 18:02:07 +0000 2018
@BBC,88,-0.5106,0.142,0.858,0.0,A dog called Minnie has been reunited with her owners two years after thieves stole a truck she was sleeping in. 🐶… https://t.co/CzeVkauFSx,Thu Jul 26 17:01:06 +0000 2018
@BBC,89,-0.296,0.091,0.909,0.0,"RT @bbcpress: Late for the first game of @BBCMOTD, missed the first dance on #Strictly or tuned in halfway through #EastEnders? Pushing the…",Thu Jul 26 16:11:16 +0000 2018
@BBC,90,0.2263,0.106,0.741,0.153,"😀♥️ Four-year-old Daniel and 91-year-old Stuart, who has dementia, have struck up an unlikely friendship.  https://t.co/DVpVhIssTc",Thu Jul 26 16:02:03 +0000 2018
@BBC,91,0.0,0.0,1.0,0.0,RT @bbcweather: It is officially the hottest day of the year so far in the UK with temperatures soaring to 35C in west London. https://t.co…,Thu Jul 26 15:40:44 +0000 2018
@BBC,92,-0.1779,0.101,0.826,0.072,"""I would like to do it all over again. There was a war on but otherwise it was absolutely wonderful."" ❤️️

Remember… https://t.co/1cSKgxW5gF",Thu Jul 26 13:01:05 +0000 2018
@BBC,93,-0.4614,0.236,0.764,0.0,"😮 You don't want to get between two fighting kangaroos!
#LifeStory https://t.co/xX95kVkWJU",Thu Jul 26 12:02:06 +0000 2018
@BBC,94,-0.4019,0.148,0.788,0.064,"A record number of primary school children are leaving school severely obese, according to new figures from Public… https://t.co/nmc8w0pnGW",Thu Jul 26 11:00:16 +0000 2018
@BBC,95,-0.8176,0.238,0.762,0.0,"RT @BBCEngland: The last living female pilot from World War Two, Mary Ellis, has died aged 101 at her home on the Isle of Wight https://t.c…",Thu Jul 26 08:45:35 +0000 2018
@BBC,96,-0.4019,0.172,0.828,0.0,"This school is tackling their single-use plastic problem one lunchbox at a time.
#PlasticsAction https://t.co/dBJBC46C06",Thu Jul 26 08:00:00 +0000 2018
@BBC,97,-0.3818,0.167,0.732,0.102,We call violence an ‘epidemic’ – and there is reason to take that literally... treating it like an infectious disea… https://t.co/871oH89IB6,Thu Jul 26 07:28:06 +0000 2018
@BBC,98,-0.4019,0.252,0.748,0.0,"♨️😴 Having trouble sleeping in this heatwave?
#HeatwaveUK https://t.co/N8Nstm5gC7",Thu Jul 26 07:01:02 +0000 2018
@BBC,99,0.4019,0.136,0.617,0.247,"Colin Firth stars in an award-winning adaptation of Jane Austen's classic romance. 📚😍

Pride and Prejudice |… https://t.co/bgxyIt8i5g",Wed Jul 25 19:02:00 +0000 2018
@BBC,100,0.4404,0.092,0.725,0.184,"From @rosskemp to @sirpatstew: these are the ultimate Extras celebrity cameos. 😂

https://t.co/MzLh704sPC",Wed Jul 25 18:02:05 +0000 2018
@BBC,101,0.0,0.0,1.0,0.0,"Is this Africa’s most inventive neighbourhood? 💡🌿🥑

https://t.co/xgeQCMM1XP",Wed Jul 25 16:02:05 +0000 2018
@CBS,2,0.9098,0.0,0.549,0.451,Celebrate #NationalAvocadoDay with @letsmakeadeal. 🥑 Relive this #LMAD moment when an avocado wins one amazing deal! https://t.co/QS8GLajWU5,Tue Jul 31 21:02:33 +0000 2018
@CBS,3,0.34,0.0,0.876,0.124,"Housewives. PTA moms. School volunteers. Starting TONIGHT, hear the stories of seemingly innocent women who put it… https://t.co/5TA15OiTuh",Sat Jul 28 16:43:56 +0000 2018
@CBS,4,0.75,0.0,0.727,0.273,"This is one allowance that can’t be beat! Kids are winning big this week on @PriceIsRight. 🎉
 https://t.co/lncKu9XvNo",Wed Jul 25 17:25:36 +0000 2018
@CBS,5,0.0,0.0,1.0,0.0,"Renowned artists Cher, Philip Glass, Reba McEntire, Wayne Shorter, and the co-creators of #Hamilton will be recogni… https://t.co/PEjjI9MKE1",Wed Jul 25 15:12:31 +0000 2018
@CBS,6,0.34,0.0,0.882,0.118,Who's excited for the return of @MurphyBrownCBS? Here's a behind-the-scenes look at the first table read of the sea… https://t.co/1B5S4WJnCW,Wed Jul 25 01:05:03 +0000 2018
@CBS,7,-0.1511,0.099,0.834,0.068,"Mark your calendars because you won’t want to miss this! Former Secretaries of State @HillaryClinton, @Madeleine, a… https://t.co/JKDPp97OqN",Tue Jul 24 18:54:14 +0000 2018
@CBS,8,0.8293,0.0,0.66,0.34,The cast couldn’t be more excited to welcome @ansonmount into the @startrekcbs family! Who’s ready to see the iconi… https://t.co/fOS4f4VCb2,Mon Jul 23 21:30:33 +0000 2018
@CBS,9,0.128,0.0,0.927,0.073,RT @startrekcbs: Stream the full panel &amp; learn all the exclusive details revealed about season 2 of #StarTrekDiscovery at @Comic_Con: https…,Sun Jul 22 01:56:13 +0000 2018
@CBS,10,-0.296,0.109,0.891,0.0,RT @MagnumPICBS: Couldn't make it to San Diego for the #MagnumPI panel? Here's everything you missed at #SDCC2018: https://t.co/Z7IBqF1YJ8…,Sat Jul 21 00:55:28 +0000 2018
